
2025/02/10 (07:01:34) | ===> btop++ v.1.4.0
2025/02/10 (07:01:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (03:19:09) | ===> btop++ v.1.4.0
2025/02/22 (03:19:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (05:20:15) | ===> btop++ v.1.4.0
2025/03/27 (05:20:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (05:22:40) | ===> btop++ v.1.4.0
2025/03/27 (05:22:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (05:24:46) | ===> btop++ v.1.4.0
2025/03/27 (05:24:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (05:27:48) | ===> btop++ v.1.4.0
2025/03/27 (05:27:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (05:29:31) | ===> btop++ v.1.4.0
2025/03/27 (05:29:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (05:32:20) | ===> btop++ v.1.4.0
2025/03/27 (05:32:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (04:45:27) | ===> btop++ v.1.4.0
2025/03/28 (04:45:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (05:01:08) | ===> btop++ v.1.4.0
2025/03/28 (05:01:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (05:03:00) | ===> btop++ v.1.4.0
2025/04/06 (05:03:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (08:49:13) | ===> btop++ v.1.4.0
2025/04/06 (08:49:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (08:49:26) | ===> btop++ v.1.4.0
2025/04/06 (08:49:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (04:35:44) | ===> btop++ v.1.4.0
2025/04/07 (04:35:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (04:37:30) | ===> btop++ v.1.4.0
2025/04/07 (04:37:30) | WARNING: Intel GPU: Failed to initialize PMU
